setting,method,mean,std,median
A,HierTS,36.520807054916716,5.307731068233375,35.41837581952018
A,IndepTS,42.60720579289797,5.353985167073744,42.60063084485548
A,PoolTS,66.69682236238508,21.12706799472732,66.64874044182376
A,LinUCB,31.90517580003681,4.21720506877147,30.70622938756499
B,HierTS,31.501561697339007,5.639502700505517,30.59046158690786
B,IndepTS,40.17426803779288,5.235421057921486,40.30529283659969
B,PoolTS,23.265685179549482,7.109911453160028,21.571778708205755
B,LinUCB,33.780074506049395,4.147489658734184,32.93671722802331
C,HierTS,34.03027742841951,4.012872903676568,33.97909482842461
C,IndepTS,36.402490780163994,4.704970834997219,36.29054276907709
C,PoolTS,60.66875450615057,19.044090891215713,60.924132238121544
C,LinUCB,29.98901512737084,3.347590216908122,30.610615334159608
D,HierTS,37.35088894085392,6.0740781129470305,36.66344114964968
D,IndepTS,41.08882506322925,5.22462970453592,40.506825150612116
D,PoolTS,52.488361641513926,19.058622677290487,53.95733995299457
D,LinUCB,31.045889001802344,3.7905627783048472,31.20311060133021
