parameter,mean,sd,mcse,ess,rhat
beta_k0_j0[0],-2.4318157108529843,0.9916125757152294,0.08159018457622717,147.70942943326705,1.025776799181844
beta_k0_j0[1],-0.5440480454681247,1.006894154250639,0.06882518582886375,214.02911396623603,1.0213966799256418
beta_k0_j0[2],0.049860575082648836,0.810613981210542,0.0520887611554715,242.18103055379632,1.0061232866398326
beta_k0_j1[0],-1.3239336643050443,0.5328774426768167,0.02073965205070902,660.163852912086,1.009050904053283
beta_k0_j1[1],0.22347343263324285,0.42089123977138493,0.011235198372579757,1403.3896960541326,1.001339468446207
beta_k0_j1[2],-1.1606567012702673,0.523484810841987,0.021681910122148245,582.9255488102705,1.006567828209626
beta0_k0[0],-1.4041572917436473,0.5432234468392351,0.0159348849236657,1162.1418764429527,1.0007978769725938
beta0_k0[1],-0.021026848840004362,0.5288697814580356,0.015889432282310774,1107.849446686209,1.0009834811499536
beta0_k0[2],-0.29658932374096575,0.5493883882779644,0.017538617366498817,981.2241880196967,1.0026580861802394
sigma2[0],1.3610039912595433,1.3892703550192116,0.11029812988696769,158.6489635473682,1.0359924740804645
sigma2[1],4.231315957270458,6.295872870190467,0.5965754684827496,111.37330766447346,1.1797550864384043
sigma2[2],0.7935256379204729,0.5753671293802787,0.017055826511654777,1138.006007167129,1.0036607284128718
rho[0],0.08299203874682663,0.36373759492608304,0.03907184920904165,86.66593950580332,1.0281250779328455
rho[1],0.2164519861812983,0.3386108267101459,0.036918298065459536,84.12369429958953,1.0587314256032279
rho[2],0.038989771336326716,0.36430642902255345,0.04280944591274287,72.4193224651138,1.1090258234713255
